position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Centre-Back,22,10,Germany,Bundesliga,FC Schalke 04,Germany,Bundesliga,TSG 1899 Hoffenheim,5
Second Striker,18,10,Switzerland,Super League,FC Zürich,England,Premier League,Leeds United,4
Centre-Forward,22,10,Spain,LaLiga,Getafe CF,Spain,LaLiga,Valencia CF,4
Attacking Midfield,30,10,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,Eintracht Frankfurt,4
Defensive Midfield,20,10,Italy,Serie A,FC Empoli,Italy,Serie A,Inter Milan,4
Left Winger,27,10,England,Premier League,Aston Villa,Turkey,Süper Lig,Trabzonspor,4
Centre-Forward,28,10,England,Premier League,Chelsea FC,Turkey,Süper Lig,Fenerbahce SK,3
Second Striker,28,10,Italy,Serie A,Hellas Verona,Italy,Serie A,AC Monza,3
Right-Back,27,10,France,Ligue 1,Olympique Lyon,Turkey,Süper Lig,Galatasaray A.S.,2
Central Midfield,19,10,Germany,Bundesliga,VfL Wolfsburg,Italy,Serie A,AC Milan,2
Centre-Forward,26,10,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Real Sociedad,1
Goalkeeper,28,10,Italy,Serie B,Cagliari Calcio,Italy,Serie A,AC Monza,0.4
Left-Back,21,10,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,CA Osasuna,0.2
Left Winger,27,10,Turkey,Süper Lig,Besiktas JK,Belgium,Jupiler Pro League,Club Brugge KV,free transfer
Left Midfield,33,10,Italy,Serie A,Inter Milan,England,Premier League,Tottenham Hotspur,free transfer
Goalkeeper,27,10,Italy,Serie A,Atalanta BC,Italy,Serie A,ACF Fiorentina,loan transfer
Right Winger,28,10,Italy,Serie A,Juventus FC,Canada,MLS,Toronto FC,free transfer
Attacking Midfield,26,10,Italy,Serie A,Atalanta BC,Italy,Serie A,Torino FC,loan transfer
Central Midfield,27,10,England,Championship,West Bromwich Albion,England,Championship,Middlesbrough FC,loan transfer
Central Midfield,33,10,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Athletic Bilbao,loan transfer
Defensive Midfield,20,10,Italy,Serie A,Juventus FC,Italy,Serie A,AC Monza,loan transfer
Centre-Back,25,10,Germany,Bundesliga,TSG 1899 Hoffenheim,Italy,Serie A,Bologna FC 1909,loan transfer
Centre-Forward,26,10,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,VfB Stuttgart,loan transfer
Right Midfield,25,10,England,Premier League,Arsenal FC,England,Premier League,Southampton FC,loan transfer
Attacking Midfield,25,10,Germany,Bundesliga,FC Schalke 04,France,Ligue 1,Olympique Marseille,loan transfer
Centre-Forward,22,7,Belgium,Jupiler Pro League,Club Brugge KV,France,Ligue 1,RC Lens,9
Centre-Forward,23,9,England,Championship,Watford FC,United States,MLS,Columbus Crew,9
Centre-Forward,21,8,Argentina,Liga Profesional,Club Atlético Lanús,Brazil,Série A,Sociedade Esportiva Palmeiras,9
Attacking Midfield,26,7,England,Premier League,Manchester United,England,Premier League,Fulham FC,9
Centre-Back,19,2,Turkey,Süper Lig,Trabzonspor,Netherlands,Eredivisie,Ajax Amsterdam,9
Central Midfield,23,3,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,9
Goalkeeper,29,8,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,9
Goalkeeper,18,3,United States,MLS,Chicago Fire FC,England,Premier League,Chelsea FC,9
Centre-Back,22,7,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Torino FC,9
Right-Back,20,5,Italy,Serie A,Udinese Calcio,Italy,Serie A,Atalanta BC,9
Centre-Back,20,3,France,Ligue 1,RC Lens,France,Ligue 1,Stade Rennais FC,9
Centre-Back,24,9,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,Bologna FC 1909,8
Centre-Forward,25,9,United States,MLS,New England Revolution,France,Ligue 1,RC Lens,6
Centre-Forward,29,9,Turkey,Süper Lig,Trabzonspor,Denmark,Superligaen,FC Copenhagen,6
Right-Back,27,9,Germany,Bundesliga,VfL Wolfsburg,England,Premier League,Fulham FC,5
Goalkeeper,30,9,England,Premier League,Arsenal FC,England,Premier League,Fulham FC,3
Defensive Midfield,25,9,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,Eintracht Frankfurt,3
Right Winger,27,9,England,Premier League,Aston Villa,Netherlands,Eredivisie,PSV Eindhoven,2
Goalkeeper,26,9,France,Ligue 1,Stade Reims,Spain,LaLiga,RCD Mallorca,2
Defensive Midfield,24,9,Russia,Premier Liga,Dynamo Moscow,Italy,Serie A,Bologna FC 1909,1
Centre-Forward,19,9,Germany,Bundesliga,FC Augsburg,Netherlands,Eredivisie,FC Groningen,0.5
Right Winger,30,9,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Getafe CF,loan transfer
Goalkeeper,25,9,England,Premier League,Newcastle United,England,Championship,Preston North End,?
Attacking Midfield,24,9,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Celta de Vigo,loan transfer
Centre-Back,25,9,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga,Celta de Vigo,loan transfer
Left-Back,23,9,Italy,Serie A,Juventus FC,Germany,Bundesliga,Eintracht Frankfurt,loan transfer
Centre-Forward,28,9,Spain,LaLiga,Villarreal CF,United Arab Emirates,UAE Pro League,Sharjah Cultural Sports Club,free transfer
Defensive Midfield,26,9,England,Premier League,Everton FC,Turkey,Süper Lig,Trabzonspor,loan transfer
Central Midfield,19,9,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Valencia CF,loan transfer
Central Midfield,29,9,France,Ligue 1,Paris Saint-Germain,Qatar,Stars League,Al-Arabi SC,free transfer
Right Winger,24,8,Netherlands,Eredivisie,PSV Eindhoven,Germany,Bundesliga,SC Freiburg,8
Centre-Back,23,8,Brazil,Série A,Sport Club Corinthians Paulista,Portugal,Liga Portugal,SL Benfica,8
Left-Back,24,7,Germany,Bundesliga,Bayern Munich,England,Premier League,Nottingham Forest,8
Left-Back,22,5,Italy,Serie B,Genoa CFC,Italy,Serie A,Juventus FC,8
Central Midfield,24,8,Italy,Serie A,Spezia Calcio,Italy,Serie A,US Salernitana 1919,4
Right-Back,24,7,Czech Republic,Fortuna Liga,SK Slavia Prague,Portugal,Liga Portugal,SL Benfica,8
Left Winger,20,1,Denmark,Superligaen,FC Nordsjaelland,England,Premier League,Brighton & Hove Albion,8
Central Midfield,22,5,Portugal,Liga Portugal,Vitória Guimarães SC,Spain,LaLiga,Valencia CF,8
Right Winger,22,2,France,Ligue 1,FC Toulouse,Germany,Bundesliga,Borussia Mönchengladbach,8
Central Midfield,22,8,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,SS Lazio,7
Centre-Back,18,8,Brazil,Série A,Santos FC,Spain,LaLiga,UD Almería,7
Centre-Forward,29,8,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,Eintracht Frankfurt,6
Right Winger,21,8,Germany,2. Bundesliga,Arminia Bielefeld,Germany,Bundesliga,VfL Wolfsburg,5
Right Winger,24,8,Russia,1.Division,Rubin Kazan,Denmark,Superligaen,FC Midtjylland,5
Right Winger,19,8,Portugal,Liga Portugal,FC Porto,Netherlands,Eredivisie,Ajax Amsterdam,5
Centre-Back,21,8,France,Ligue 1,OGC Nice,Italy,Serie A,US Salernitana 1919,5
Centre-Forward,27,8,Portugal,Liga Portugal,SL Benfica,England,Premier League,Fulham FC,5
Left Winger,27,8,France,Ligue 2,AS Saint-Étienne,United States,MLS,Los Angeles FC,4
Central Midfield,22,8,Switzerland,Super League,Servette FC,Switzerland,Super League,BSC Young Boys,3
Attacking Midfield,27,8,Spain,LaLiga2,Levante UD,Turkey,Süper Lig,Trabzonspor,3
Left Winger,28,8,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,1
Centre-Forward,30,8,Portugal,Liga Portugal,SL Benfica,Turkey,Süper Lig,Galatasaray A.S.,1
Centre-Back,23,8,England,Premier League,Chelsea FC,Monaco,Ligue 1,AS Monaco,1
Centre-Back,27,8,Spain,LaLiga2,Granada CF,Spain,LaLiga,Getafe CF,0.75
Attacking Midfield,30,8,Canada,MLS,Toronto FC,United States,MLS,Inter Miami CF,0.136
Centre-Back,32,8,England,Premier League,Wolverhampton Wanderers,Turkey,Süper Lig,Besiktas JK,free transfer
Defensive Midfield,27,8,England,Premier League,Newcastle United,England,Championship,Norwich City,loan transfer
Centre-Forward,25,8,Russia,Premier Liga,Spartak Moscow,Germany,Bundesliga,FC Schalke 04,free transfer
Attacking Midfield,33,8,Italy,Serie A,AS Roma,Italy,Serie A,Inter Milan,free transfer
Right Winger,21,8,England,Premier League,Brighton & Hove Albion,France,Ligue 1,Angers SCO,loan transfer
Centre-Forward,30,8,England,Championship,Watford FC,Turkey,Süper Lig,Fenerbahce SK,free transfer
Left Winger,20,8,England,Championship,Norwich City,Netherlands,Eredivisie,Twente Enschede FC,loan transfer
Centre-Back,22,8,Italy,Serie A,Inter Milan,Netherlands,Eredivisie,AZ Alkmaar,loan transfer
Right-Back,24,8,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Elche CF,loan transfer
Right Winger,22,8,Germany,Bundesliga,Eintracht Frankfurt,Belgium,Jupiler Pro League,KAA Gent,loan transfer
Attacking Midfield,20,8,Spain,LaLiga,Real Madrid,Spain,LaLiga,Girona FC,loan transfer
Central Midfield,18,8,England,Premier League,Brighton & Hove Albion,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Goalkeeper,22,8,Italy,Serie A,Atalanta BC,Italy,Serie A,US Cremonese,loan transfer
Centre-Forward,26,8,Spain,LaLiga,Sevilla FC,Spain,LaLiga,Getafe CF,free transfer
Left Winger,20,8,Spain,LaLiga,FC Barcelona,Spain,LaLiga,CA Osasuna,loan transfer
Centre-Forward,28,7,Italy,Serie A,SS Lazio,Spain,LaLiga,RCD Mallorca,7
Defensive Midfield,22,4,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Germany,Bundesliga,VfL Wolfsburg,7
Left Winger,23,7,Portugal,Liga Portugal,SL Benfica,Scotland,Premiership,Celtic FC,7
Centre-Back,24,7,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7
Right Winger,21,7,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,6
Attacking Midfield,24,7,Russia,Premier Liga,Spartak Moscow,Netherlands,Eredivisie,PSV Eindhoven,3
Central Midfield,27,7,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,TSG 1899 Hoffenheim,free transfer
Left Midfield,30,7,Saudi Arabia,Without League,Al-Ahli Saudi FC,Turkey,Süper Lig,Fenerbahce SK,loan transfer
Attacking Midfield,30,7,Spain,LaLiga,Real Madrid,Spain,LaLiga,Sevilla FC,free transfer
Central Midfield,25,7,Turkey,Süper Lig,Galatasaray A.S.,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,loan transfer
Central Midfield,21,4,Netherlands,Eredivisie,FC Utrecht,Netherlands,Eredivisie,Feyenoord Rotterdam,7
Centre-Back,24,7,England,Premier League,Tottenham Hotspur,Scotland,Premiership,Celtic FC,7
Centre-Back,21,5,Monaco,Ligue 1,AS Monaco,Austria,Bundesliga,Red Bull Salzburg,7
Centre-Back,22,7,Italy,Serie A,Atalanta BC,Italy,Serie A,US Salernitana 1919,7
Centre-Forward,26,7,Qatar,Stars League,Al-Arabi SC,Saudi Arabia,Professional League,Al-Shabab Club (Riyadh),7
Centre-Back,21,6,Germany,Bundesliga,FC Schalke 04,Italy,Serie A,AC Milan,7
Left Winger,20,7,Brazil,Série A,Clube de Regatas do Flamengo,Spain,LaLiga,UD Almería,7
Left Winger,22,7,Portugal,Liga Portugal,Gil Vicente FC,Spain,LaLiga,Atlético de Madrid,6
Attacking Midfield,24,7,Argentina,Liga Profesional,CA River Plate,Russia,Premier Liga,CSKA Moscow,6
Centre-Forward,26,7,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,1.FC Union Berlin,6
Central Midfield,23,7,Argentina,Liga Profesional,CA Banfield,Brazil,Série A,São Paulo Futebol Clube,6
Centre-Back,28,7,France,Ligue 1,Olympique Marseille,Turkey,Süper Lig,Fenerbahce SK,5
Centre-Back,33,7,Qatar,Stars League,Al-Duhail SC,Belgium,Jupiler Pro League,Royal Antwerp FC,4
Centre-Forward,29,7,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Nottingham Forest,4
Right Winger,19,7,Brazil,Série A,São Paulo Futebol Clube,England,Premier League,Arsenal FC,3
Right-Back,22,7,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Inter Milan,3
Defensive Midfield,29,7,Brazil,Série A,Clube de Regatas do Flamengo,Turkey,Süper Lig,Fenerbahce SK,3
Central Midfield,26,7,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,1.FC Union Berlin,3
Left Winger,26,7,Belgium,Jupiler Pro League,KRC Genk,Spain,LaLiga,Cádiz CF,3
Right Winger,25,7,Italy,Serie A,SSC Napoli,France,Ligue 1,LOSC Lille,3
Defensive Midfield,26,7,Russia,1.Division,Rubin Kazan,Scotland,Premiership,Celtic FC,1
Right-Back,22,7,France,Ligue 2,FC Girondins Bordeaux,Italy,Serie B,Cagliari Calcio,0.7
Centre-Back,23,7,Portugal,Liga Portugal,FC Porto,Germany,Bundesliga,1.FC Union Berlin,0.5
Left-Back,25,7,France,Ligue 1,RC Strasbourg Alsace,Germany,Bundesliga,1.FSV Mainz 05,free transfer
Central Midfield,27,7,England,Championship,Reading FC,England,Championship,West Bromwich Albion,free transfer
Centre-Back,20,7,England,Premier League 2,Manchester City U21,England,Championship,Burnley FC,loan transfer
Central Midfield,26,7,Italy,Serie A,Inter Milan,Italy,Serie A,AC Monza,loan transfer
Centre-Forward,21,7,Italy,Serie A,Inter Milan,Italy,Serie A,FC Empoli,loan transfer
Right-Back,23,7,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,RC Strasbourg Alsace,loan transfer
Left-Back,26,7,France,Ligue 1,Stade Reims,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Goalkeeper,27,7,Italy,Serie A,SS Lazio,England,Premier League,Brentford FC,free transfer
Left Winger,22,7,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Valencia CF,loan transfer
Central Midfield,22,7,Spain,LaLiga,FC Barcelona,United States,MLS,Los Angeles Galaxy,free transfer
Left Winger,25,7,Mexico,Liga MX Apertura,Tigres UANL,Brazil,Série A,Santos FC,loan transfer
Centre-Forward,29,7,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,loan transfer
Centre-Back,28,7,England,Premier League,Southampton FC,England,Premier League,AFC Bournemouth,loan transfer
Centre-Back,29,7,Germany,Bundesliga,VfL Wolfsburg,Portugal,Liga Portugal,SL Benfica,free transfer
Defensive Midfield,20,7,Italy,Serie A,Inter Milan,France,Ligue 1,ESTAC Troyes,loan transfer
Defensive Midfield,24,7,Spain,LaLiga,Valencia CF,Portugal,Liga Portugal,SC Braga,loan transfer
Left Winger,26,7,England,Premier League,Chelsea FC,Spain,LaLiga,Real Valladolid CF,?
Centre-Forward,29,3,Colombia,Liga DIMAYOR II,Junior FC,Argentina,Liga Profesional,CA River Plate,6
Right Winger,18,6,Brazil,Série A,Clube Atlético Mineiro,France,Ligue 1,ESTAC Troyes,6
Centre-Forward,27,6,Belgium,Jupiler Pro League,KRC Genk,Italy,Serie A,US Cremonese,6
Centre-Back,27,5,England,Championship,Watford FC,Mexico,Liga MX Apertura,Tigres UANL,6
Central Midfield,23,6,Portugal,Liga Portugal,SL Benfica,Turkey,Süper Lig,Besiktas JK,6
Right Winger,26,6,Portugal,Liga Portugal,Boavista FC,France,Ligue 2,FC Girondins Bordeaux,6
Left-Back,21,6,Turkey,Süper Lig,Besiktas JK,Scotland,Premiership,Rangers FC,4
Centre-Forward,24,6,Egypt,Premier League,Zamalek SC,Turkey,Süper Lig,Galatasaray A.S.,3
Centre-Back,24,6,Italy,Serie A,Inter Milan,France,Ligue 1,Stade Reims,3
Attacking Midfield,21,6,Argentina,Liga Profesional,CA Newell's Old Boys,Belgium,Jupiler Pro League,KRC Genk,3
Defensive Midfield,28,6,Italy,Serie A,ACF Fiorentina,Brazil,Série A,Clube de Regatas do Flamengo,2
Centre-Forward,24,6,Turkey,Süper Lig,Galatasaray A.S.,France,Ligue 1,FC Nantes,0.25
Centre-Back,27,6,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,SV Werder Bremen,free transfer
Right Winger,28,6,England,Championship,Millwall FC,England,Championship,West Bromwich Albion,free transfer
Attacking Midfield,32,6,France,Ligue 1,Montpellier HSC,France,Ligue 1,LOSC Lille,free transfer
Defensive Midfield,25,6,Germany,Bundesliga,Hertha BSC,Italy,Serie A,US Cremonese,loan transfer
Defensive Midfield,25,5,Switzerland,Super League,BSC Young Boys,Russia,Premier Liga,Spartak Moscow,6
Goalkeeper,28,5,United States,MLS,New England Revolution,England,Premier League,Arsenal FC,6
Left-Back,19,3,Netherlands,Eredivisie,FC Groningen,Belgium,Jupiler Pro League,Club Brugge KV,6
Centre-Forward,23,5,Ukraine,Premier Liga,Shakhtar Donetsk,Austria,Bundesliga,Red Bull Salzburg,6
Centre-Back,21,0.5,Spain,Primera Federación - Gr. I,Real Madrid Castilla,Italy,Serie A,SS Lazio,6
Defensive Midfield,22,6,Argentina,Liga Profesional,AA Argentinos Juniors,Brazil,Série A,Sport Club Corinthians Paulista,6
Central Midfield,20,0.8,Argentina,Liga Profesional,AA Argentinos Juniors,Belgium,Jupiler Pro League,KRC Genk,6
Centre-Back,24,4,Czech Republic,Fortuna Liga,AC Sparta Prague,Netherlands,Eredivisie,Feyenoord Rotterdam,6
Centre-Forward,19,6,Italy,Serie A,AS Roma,Italy,Serie A,US Cremonese,6
Attacking Midfield,25,6,Denmark,Superligaen,FC Copenhagen,Greece,Super League 1,Olympiacos Piraeus,6
Centre-Forward,31,6,England,Premier League,Crystal Palace,United States,MLS,D.C. United,5
Centre-Forward,28,6,Saudi Arabia,Professional League,Al-Nassr Riad,Mexico,Liga MX Apertura,CF América,5
Right-Back,25,6,Portugal,Liga Portugal,Sporting CP,Turkey,Süper Lig,Besiktas JK,4
Centre-Back,23,6,Sweden,Allsvenskan,Malmö FF,England,Championship,Sheffield United,4
Right Winger,31,6,Italy,Serie C - C,FC Crotone,Italy,Serie A,AC Milan,4
Left Winger,24,6,Germany,Bundesliga,Hertha BSC,Netherlands,Eredivisie,Feyenoord Rotterdam,4
Left-Back,21,6,Spain,LaLiga,Real Madrid,Spain,LaLiga,Girona FC,4
Left Winger,25,6,Spain,LaLiga,RCD Espanyol Barcelona,China,Super League,Shanghai Port,4
Left Winger,29,6,Spain,LaLiga2,Granada CF,Mexico,Liga MX Apertura,FC Juárez,3
Centre-Forward,21,6,Russia,1.Division,FK Ufa,Russia,Premier Liga,Akhmat Grozny,3
Central Midfield,28,6,Netherlands,Eredivisie,AZ Alkmaar,Turkey,Süper Lig,Galatasaray A.S.,3
Right Winger,21,6,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,Real Valladolid CF,3
Centre-Back,31,6,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,2
Goalkeeper,24,6,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Spezia Calcio,2
Centre-Back,28,6,England,Premier League,Manchester United,France,Ligue 1,Olympique Marseille,2
Central Midfield,33,6,Spain,LaLiga,Atlético de Madrid,Denmark,Superligaen,Bröndby IF,1
Defensive Midfield,25,6,Italy,Serie A,AS Roma,Belgium,Jupiler Pro League,RSC Anderlecht,1
Centre-Back,31,6,Spain,LaLiga,Real Betis Balompié,Turkey,Süper Lig,Trabzonspor,1
Centre-Forward,21,6,Italy,Serie B,Pisa Sporting Club,Netherlands,Eredivisie,Ajax Amsterdam,1
Right Winger,24,6,Italy,Serie A,AS Roma,Spain,LaLiga,Celta de Vigo,1
Attacking Midfield,30,6,France,Ligue 1,Montpellier HSC,Germany,Bundesliga,FC Schalke 04,0.5
Centre-Forward,26,6,France,Ligue 1,Olympique Lyon,Spain,LaLiga,RCD Mallorca,0.4
Centre-Forward,24,6,Turkey,Süper Lig,Fenerbahce SK,Germany,Bundesliga,FC Augsburg,0.3
Centre-Forward,33,6,Russia,Premier Liga,Zenit St. Petersburg,Turkey,Süper Lig,Adana Demirspor,free transfer
Centre-Back,25,6,Russia,1.Division,Rubin Kazan,Germany,Bundesliga,Hertha BSC,free transfer
Defensive Midfield,28,6,France,Ligue 2,FC Girondins Bordeaux,Brazil,Série A,Clube Atlético Mineiro,free transfer
Left Winger,27,6,Netherlands,Eredivisie,PSV Eindhoven,Turkey,Süper Lig,Fenerbahce SK,loan transfer
Right-Back,20,6,England,Premier League,Wolverhampton Wanderers,Netherlands,Eredivisie,PSV Eindhoven,loan transfer
Goalkeeper,29,6,Germany,2. Bundesliga,Arminia Bielefeld,England,Premier League,Manchester City,free transfer
Centre-Forward,24,6,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,FC Augsburg,free transfer
Centre-Forward,22,6,England,Premier League,Brighton & Hove Albion,Italy,Serie B,Venezia FC,loan transfer
Goalkeeper,27,6,England,Premier League,Manchester City,England,Championship,Middlesbrough FC,loan transfer
Left Winger,20,6,France,Ligue 1,Olympique Marseille,Brazil,Série A,Botafogo de Futebol e Regatas,loan transfer
Right Winger,18,6,France,Ligue 1,ESTAC Troyes,Netherlands,Eredivisie,PSV Eindhoven,loan transfer
Centre-Back,22,6,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Udinese Calcio,?
Centre-Back,23,6,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,free transfer
Right Midfield,26,6,Italy,Serie A,Inter Milan,Italy,Serie A,Torino FC,loan transfer
Left Winger,20,6,Netherlands,Eredivisie,Ajax Amsterdam,Denmark,Superligaen,FC Copenhagen,loan transfer
Left Winger,21,6,France,Ligue 1,Olympique Marseille,Greece,Super League 1,Olympiacos Piraeus,loan transfer
